Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Planner calls,Sum Of Cost
empty-32-32,0.8,0.1,10,10,1,RCbssEff,0.67351,1,86
empty-32-32,0.8,0.1,10,10,1,IDP,0.66321,1,86
empty-32-32,0.8,0.1,10,10,1,IRC,0.67453,1,102
empty-32-32,0.8,0.1,10,10,2,RCbssEff,0.62543,1,67
empty-32-32,0.8,0.1,10,10,2,IDP,0.60621,1,67
empty-32-32,0.8,0.1,10,10,2,IRC,0.61403,1,83
empty-32-32,0.8,0.1,10,10,3,RCbssEff,0.68143,1,77
empty-32-32,0.8,0.1,10,10,3,IDP,0.67707,1,77
empty-32-32,0.8,0.1,10,10,3,IRC,0.86408,1,88
empty-32-32,0.8,0.1,10,10,4,RCbssEff,0.6848,1,75
empty-32-32,0.8,0.1,10,10,4,IDP,0.67933,1,75
empty-32-32,0.8,0.1,10,10,4,IRC,0.69815,1,79
empty-32-32,0.8,0.1,10,10,5,RCbssEff,0.62919,1,83
empty-32-32,0.8,0.1,10,10,5,IDP,0.64228,1,83
empty-32-32,0.8,0.1,10,10,5,IRC,0.59906,1,88
empty-32-32,0.8,0.1,10,10,6,RCbssEff,0.65239,1,83
empty-32-32,0.8,0.1,10,10,6,IDP,0.65649,1,83
empty-32-32,0.8,0.1,10,10,6,IRC,0.7236,1,91
empty-32-32,0.8,0.1,10,10,7,RCbssEff,0.66452,1,82
empty-32-32,0.8,0.1,10,10,7,IDP,0.66207,1,82
empty-32-32,0.8,0.1,10,10,7,IRC,0.66536,1,87
empty-32-32,0.8,0.1,10,10,8,RCbssEff,0.65029,1,92
empty-32-32,0.8,0.1,10,10,8,IDP,0.63639,1,92
empty-32-32,0.8,0.1,10,10,8,IRC,0.64519,1,108
empty-32-32,0.8,0.1,10,10,9,RCbssEff,0.66003,1,91
empty-32-32,0.8,0.1,10,10,9,IDP,0.65115,1,91
empty-32-32,0.8,0.1,10,10,9,IRC,0.65482,1,108
empty-32-32,0.8,0.1,10,10,10,RCbssEff,0.64537,1,77
empty-32-32,0.8,0.1,10,10,10,IDP,0.65587,1,77
empty-32-32,0.8,0.1,10,10,10,IRC,0.65202,1,93
empty-32-32,0.8,0.1,10,10,11,RCbssEff,0.69873,1,95
empty-32-32,0.8,0.1,10,10,11,IDP,0.68578,1,95
empty-32-32,0.8,0.1,10,10,11,IRC,0.76359,1,112
empty-32-32,0.8,0.1,10,10,12,RCbssEff,0.66041,1,93
empty-32-32,0.8,0.1,10,10,12,IDP,0.65424,1,93
empty-32-32,0.8,0.1,10,10,12,IRC,0.66547,1,104
empty-32-32,0.8,0.1,10,10,13,RCbssEff,0.67641,1,83
empty-32-32,0.8,0.1,10,10,13,IDP,0.69761,1,83
empty-32-32,0.8,0.1,10,10,13,IRC,0.6981,1,89
empty-32-32,0.8,0.1,10,10,14,RCbssEff,0.62169,1,89
empty-32-32,0.8,0.1,10,10,14,IDP,0.64073,1,89
empty-32-32,0.8,0.1,10,10,14,IRC,0.6483,1,107
empty-32-32,0.8,0.1,10,10,15,RCbssEff,0.68269,1,69
empty-32-32,0.8,0.1,10,10,15,IDP,0.66157,1,69
empty-32-32,0.8,0.1,10,10,15,IRC,0.6625,1,82
empty-32-32,0.8,0.1,10,10,16,RCbssEff,0.66556,1,69
empty-32-32,0.8,0.1,10,10,16,IDP,0.79545,1,69
empty-32-32,0.8,0.1,10,10,16,IRC,0.65803,1,76
empty-32-32,0.8,0.1,10,10,17,RCbssEff,0.63481,1,79
empty-32-32,0.8,0.1,10,10,17,IDP,0.61347,1,79
empty-32-32,0.8,0.1,10,10,17,IRC,0.64744,1,88
empty-32-32,0.8,0.1,10,10,18,RCbssEff,0.65095,1,82
empty-32-32,0.8,0.1,10,10,18,IDP,0.64831,1,82
empty-32-32,0.8,0.1,10,10,18,IRC,0.66817,1,94
empty-32-32,0.8,0.1,10,10,19,RCbssEff,0.63314,1,102
