Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Calls to EGTSP\TSP,Calls to LowLevel,Number of roots generated,Resolved conflicts
empty-32-32,0.8,0.1,10,20,1,RCbssEff,2.40554,1,1,1,0
empty-32-32,0.8,0.1,10,20,2,RCbssEff,1.42629,1,1,1,0
empty-32-32,0.8,0.1,10,20,3,RCbssEff,1.66993,1,1,1,0
empty-32-32,0.8,0.1,10,20,4,RCbssEff,1.66822,1,1,1,0
empty-32-32,0.8,0.1,10,20,5,RCbssEff,1.26217,1,1,1,0
empty-32-32,0.8,0.1,10,20,6,RCbssEff,11.18473,21,3,2,1
empty-32-32,0.8,0.1,10,20,7,RCbssEff,1.43629,1,1,1,0
empty-32-32,0.8,0.1,10,20,8,RCbssEff,1.41794,1,1,1,0
empty-32-32,0.8,0.1,10,20,9,RCbssEff,1.41557,1,1,1,0
empty-32-32,0.8,0.1,10,20,10,RCbssEff,1.51812,1,1,1,0
empty-32-32,0.8,0.1,10,20,11,RCbssEff,2.03352,1,1,1,0
empty-32-32,0.8,0.1,10,20,12,RCbssEff,1.38323,1,1,1,0
empty-32-32,0.8,0.1,10,20,13,RCbssEff,1.5149,1,1,1,0
empty-32-32,0.8,0.1,10,20,14,RCbssEff,1.27085,1,1,1,0
empty-32-32,0.8,0.1,10,20,15,RCbssEff,1.49572,1,1,1,0
empty-32-32,0.8,0.1,10,20,16,RCbssEff,1.39709,1,1,1,0
empty-32-32,0.8,0.1,10,20,17,RCbssEff,1.25622,1,1,1,0
empty-32-32,0.8,0.1,10,20,18,RCbssEff,1.34945,1,1,1,0
empty-32-32,0.8,0.1,10,20,19,RCbssEff,1.36866,1,1,1,0
empty-32-32,0.8,0.1,10,20,20,RCbssEff,1.86683,1,1,1,0
empty-32-32,0.8,0.1,10,30,1,RCbssEff,2.43616,1,1,1,0
empty-32-32,0.8,0.1,10,30,2,RCbssEff,2.4751,1,1,1,0
empty-32-32,0.8,0.1,10,30,3,RCbssEff,2.55697,1,1,1,0
empty-32-32,0.8,0.1,10,30,4,RCbssEff,2.50454,1,1,1,0
empty-32-32,0.8,0.1,10,30,5,RCbssEff,2.48978,1,1,1,0
empty-32-32,0.8,0.1,10,30,6,RCbssEff,2.35965,1,1,1,0
empty-32-32,0.8,0.1,10,30,7,RCbssEff,2.76152,1,1,1,0
empty-32-32,0.8,0.1,10,30,8,RCbssEff,2.56872,1,1,1,0
empty-32-32,0.8,0.1,10,30,9,RCbssEff,2.50964,1,1,1,0
empty-32-32,0.8,0.1,10,30,10,RCbssEff,2.53014,1,1,1,0
empty-32-32,0.8,0.1,10,30,11,RCbssEff,3.10104,1,1,1,0
empty-32-32,0.8,0.1,10,30,12,RCbssEff,,,,,
empty-32-32,0.8,0.1,10,30,13,RCbssEff,3.17714,1,1,1,0
empty-32-32,0.8,0.1,10,30,14,RCbssEff,2.56903,1,1,1,0
empty-32-32,0.8,0.1,10,30,15,RCbssEff,2.41473,1,1,1,0
empty-32-32,0.8,0.1,10,30,16,RCbssEff,2.51832,1,1,1,0
empty-32-32,0.8,0.1,10,30,17,RCbssEff,2.55291,1,1,1,0
empty-32-32,0.8,0.1,10,30,18,RCbssEff,2.55329,1,1,1,0
empty-32-32,0.8,0.1,10,30,19,RCbssEff,2.50249,1,1,1,0
empty-32-32,0.8,0.1,10,30,20,RCbssEff,2.72527,1,1,1,0
empty-32-32,0.8,0.1,10,40,1,RCbssEff,4.73711,1,1,1,0
empty-32-32,0.8,0.1,10,40,2,RCbssEff,4.46659,1,1,1,0
empty-32-32,0.8,0.1,10,40,3,RCbssEff,4.63845,1,1,1,0
empty-32-32,0.8,0.1,10,40,4,RCbssEff,4.07506,1,1,1,0
empty-32-32,0.8,0.1,10,40,5,RCbssEff,3.61573,1,1,1,0
empty-32-32,0.8,0.1,10,40,6,RCbssEff,4.27899,1,1,1,0
empty-32-32,0.8,0.1,10,40,7,RCbssEff,5.12166,1,1,1,0
empty-32-32,0.8,0.1,10,40,8,RCbssEff,4.24391,1,1,1,0
empty-32-32,0.8,0.1,10,40,9,RCbssEff,4.35728,1,1,1,0
empty-32-32,0.8,0.1,10,40,10,RCbssEff,3.9888,1,1,1,0
empty-32-32,0.8,0.1,10,40,11,RCbssEff,4.0458,1,1,1,0
empty-32-32,0.8,0.1,10,40,12,RCbssEff,4.49426,1,1,1,0
empty-32-32,0.8,0.1,10,40,13,RCbssEff,4.0414,1,1,1,0
empty-32-32,0.8,0.1,10,40,14,RCbssEff,4.18668,1,1,1,0
empty-32-32,0.8,0.1,10,40,15,RCbssEff,3.91126,1,1,1,0
empty-32-32,0.8,0.1,10,40,16,RCbssEff,3.92711,1,1,1,0
empty-32-32,0.8,0.1,10,40,17,RCbssEff,4.1773,1,1,1,0
empty-32-32,0.8,0.1,10,40,18,RCbssEff,4.04072,1,1,1,0
empty-32-32,0.8,0.1,10,40,19,RCbssEff,4.42019,1,1,1,0
empty-32-32,0.8,0.1,10,40,20,RCbssEff,3.98313,1,1,1,0
empty-32-32,0.8,0.1,10,50,1,RCbssEff,6.62326,1,1,1,0
empty-32-32,0.8,0.1,10,50,2,RCbssEff,6.58965,1,1,1,0
empty-32-32,0.8,0.1,10,50,3,RCbssEff,6.15176,1,1,1,0
empty-32-32,0.8,0.1,10,50,4,RCbssEff,5.81118,1,1,1,0
empty-32-32,0.8,0.1,10,50,5,RCbssEff,5.95385,1,1,1,0
empty-32-32,0.8,0.1,10,50,6,RCbssEff,6.03833,1,1,1,0
empty-32-32,0.8,0.1,10,50,7,RCbssEff,6.30831,1,1,1,0
empty-32-32,0.8,0.1,10,50,8,RCbssEff,6.2114,1,1,1,0
empty-32-32,0.8,0.1,10,50,9,RCbssEff,6.34882,1,1,1,0
empty-32-32,0.8,0.1,10,50,10,RCbssEff,5.92472,1,1,1,0
empty-32-32,0.8,0.1,10,50,11,RCbssEff,6.28487,1,1,1,0
empty-32-32,0.8,0.1,10,50,12,RCbssEff,6.2606,1,1,1,0
empty-32-32,0.8,0.1,10,50,13,RCbssEff,6.11353,1,1,1,0
empty-32-32,0.8,0.1,10,50,14,RCbssEff,6.79346,1,1,1,0
empty-32-32,0.8,0.1,10,50,15,RCbssEff,5.64303,1,1,1,0
empty-32-32,0.8,0.1,10,50,16,RCbssEff,5.78744,1,1,1,0
empty-32-32,0.8,0.1,10,50,17,RCbssEff,6.47402,1,1,1,0
