Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Calls to EGTSP\TSP
empty-32-32,0.8,0.1,3,6,1,RCbssEff,0.62107,1
empty-32-32,0.8,0.1,3,6,1,RCbssBase,1.36197,70
empty-32-32,0.8,0.1,3,6,2,RCbssEff,0.3436,1
empty-32-32,0.8,0.1,3,6,2,RCbssBase,3.09621,191
empty-32-32,0.8,0.1,3,6,3,RCbssEff,0.3571,1
empty-32-32,0.8,0.1,3,6,3,RCbssBase,0.62467,40
empty-32-32,0.8,0.1,3,6,4,RCbssEff,0.35582,1
empty-32-32,0.8,0.1,3,6,4,RCbssBase,0.40194,29
empty-32-32,0.8,0.1,3,6,5,RCbssEff,0.34702,1
empty-32-32,0.8,0.1,3,6,5,RCbssBase,0.66083,21
empty-32-32,0.8,0.1,3,6,6,RCbssEff,0.36693,1
empty-32-32,0.8,0.1,3,6,6,RCbssBase,0.1379,7
empty-32-32,0.8,0.1,3,6,7,RCbssEff,0.37985,1
empty-32-32,0.8,0.1,3,6,7,RCbssBase,0.32278,15
empty-32-32,0.8,0.1,3,6,8,RCbssEff,0.35974,1
empty-32-32,0.8,0.1,3,6,8,RCbssBase,3.39109,51
empty-32-32,0.8,0.1,3,6,9,RCbssEff,0.66477,1
empty-32-32,0.8,0.1,3,6,9,RCbssBase,0.54615,39
empty-32-32,0.8,0.1,3,6,10,RCbssEff,0.33837,1
empty-32-32,0.8,0.1,3,6,10,RCbssBase,0.59593,43
empty-32-32,0.8,0.1,3,6,11,RCbssEff,0.35463,1
empty-32-32,0.8,0.1,3,6,11,RCbssBase,1.13489,73
empty-32-32,0.8,0.1,3,6,12,RCbssEff,0.35422,1
empty-32-32,0.8,0.1,3,6,12,RCbssBase,0.3815,26
empty-32-32,0.8,0.1,3,6,13,RCbssEff,0.35377,1
empty-32-32,0.8,0.1,3,6,13,RCbssBase,0.27729,18
empty-32-32,0.8,0.1,3,6,14,RCbssEff,0.36349,1
empty-32-32,0.8,0.1,3,6,14,RCbssBase,1.17664,86
empty-32-32,0.8,0.1,3,6,15,RCbssEff,0.35021,1
empty-32-32,0.8,0.1,3,6,15,RCbssBase,0.54778,38
empty-32-32,0.8,0.1,3,6,16,RCbssEff,0.35104,1
empty-32-32,0.8,0.1,3,6,16,RCbssBase,0.82606,59
empty-32-32,0.8,0.1,3,6,17,RCbssEff,0.35412,1
empty-32-32,0.8,0.1,3,6,17,RCbssBase,0.76412,41
empty-32-32,0.8,0.1,3,6,18,RCbssEff,0.60091,1
empty-32-32,0.8,0.1,3,6,18,RCbssBase,1.95704,137
empty-32-32,0.8,0.1,3,6,19,RCbssEff,0.37811,1
empty-32-32,0.8,0.1,3,6,19,RCbssBase,4.96625,301
empty-32-32,0.8,0.1,3,6,20,RCbssEff,0.46915,1
empty-32-32,0.8,0.1,3,6,20,RCbssBase,3.64037,57
empty-32-32,0.8,0.1,3,10,1,RCbssEff,0.50807,1
empty-32-32,0.8,0.1,3,10,1,RCbssBase,10.57376,509
empty-32-32,0.8,0.1,3,10,2,RCbssEff,0.44301,1
empty-32-32,0.8,0.1,3,10,2,RCbssBase,10.80168,521
empty-32-32,0.8,0.1,3,10,3,RCbssEff,0.51504,1
empty-32-32,0.8,0.1,3,10,3,RCbssBase,7.11792,296
empty-32-32,0.8,0.1,3,10,4,RCbssEff,0.51695,1
empty-32-32,0.8,0.1,3,10,4,RCbssBase,10.89511,552
empty-32-32,0.8,0.1,3,10,5,RCbssEff,0.57369,1
empty-32-32,0.8,0.1,3,10,5,RCbssBase,11.58624,541
empty-32-32,0.8,0.1,3,10,6,RCbssEff,0.54493,1
empty-32-32,0.8,0.1,3,10,6,RCbssBase,7.14873,349
empty-32-32,0.8,0.1,3,10,7,RCbssEff,0.50916,1
empty-32-32,0.8,0.1,3,10,7,RCbssBase,0.64287,31
empty-32-32,0.8,0.1,3,10,8,RCbssEff,0.50997,1
empty-32-32,0.8,0.1,3,10,8,RCbssBase,26.41049,1056
empty-32-32,0.8,0.1,3,10,9,RCbssEff,0.52227,1
empty-32-32,0.8,0.1,3,10,9,RCbssBase,19.96517,938
empty-32-32,0.8,0.1,3,10,10,RCbssEff,0.51446,1
empty-32-32,0.8,0.1,3,10,10,RCbssBase,,
empty-32-32,0.8,0.1,3,10,11,RCbssEff,0.5583,1
empty-32-32,0.8,0.1,3,10,11,RCbssBase,29.13787,1099
empty-32-32,0.8,0.1,3,10,12,RCbssEff,0.52097,1
empty-32-32,0.8,0.1,3,10,12,RCbssBase,20.26345,941
empty-32-32,0.8,0.1,3,10,13,RCbssEff,0.55126,1
empty-32-32,0.8,0.1,3,10,13,RCbssBase,6.91562,311
empty-32-32,0.8,0.1,3,10,14,RCbssEff,0.51644,1
empty-32-32,0.8,0.1,3,10,14,RCbssBase,43.97789,1588
empty-32-32,0.8,0.1,3,10,15,RCbssEff,0.53438,1
empty-32-32,0.8,0.1,3,10,15,RCbssBase,14.59801,585
empty-32-32,0.8,0.1,3,10,16,RCbssEff,0.50477,1
empty-32-32,0.8,0.1,3,10,16,RCbssBase,7.42809,365
empty-32-32,0.8,0.1,3,10,17,RCbssEff,0.51164,1
empty-32-32,0.8,0.1,3,10,17,RCbssBase,5.34705,244
empty-32-32,0.8,0.1,3,10,18,RCbssEff,0.53615,1
empty-32-32,0.8,0.1,3,10,18,RCbssBase,8.52559,407
empty-32-32,0.8,0.1,3,10,19,RCbssEff,0.55811,1
empty-32-32,0.8,0.1,3,10,19,RCbssBase,,
empty-32-32,0.8,0.1,3,10,20,RCbssEff,0.51937,1
empty-32-32,0.8,0.1,3,10,20,RCbssBase,13.57619,352
empty-32-32,0.8,0.1,3,16,1,RCbssEff,0.90611,1
empty-32-32,0.8,0.1,3,16,1,RCbssBase,,
empty-32-32,0.8,0.1,3,16,2,RCbssEff,0.86328,1
empty-32-32,0.8,0.1,3,16,2,RCbssBase,,
empty-32-32,0.8,0.1,3,16,3,RCbssEff,0.84972,1
empty-32-32,0.8,0.1,3,16,3,RCbssBase,,
empty-32-32,0.8,0.1,3,16,4,RCbssEff,0.92438,1
empty-32-32,0.8,0.1,3,16,4,RCbssBase,,
empty-32-32,0.8,0.1,3,16,5,RCbssEff,1.40253,1
empty-32-32,0.8,0.1,3,16,5,RCbssBase,,
empty-32-32,0.8,0.1,3,16,6,RCbssEff,0.92238,1
empty-32-32,0.8,0.1,3,16,6,RCbssBase,,
empty-32-32,0.8,0.1,3,16,7,RCbssEff,0.87407,1
empty-32-32,0.8,0.1,3,16,7,RCbssBase,,
empty-32-32,0.8,0.1,3,16,8,RCbssEff,0.9946,1
empty-32-32,0.8,0.1,3,16,8,RCbssBase,,
empty-32-32,0.8,0.1,3,16,9,RCbssEff,0.85649,1
empty-32-32,0.8,0.1,3,16,9,RCbssBase,,
empty-32-32,0.8,0.1,3,16,10,RCbssEff,0.86923,1
empty-32-32,0.8,0.1,3,16,10,RCbssBase,,
empty-32-32,0.8,0.1,3,16,11,RCbssEff,0.89443,1
empty-32-32,0.8,0.1,3,16,11,RCbssBase,,
empty-32-32,0.8,0.1,3,16,12,RCbssEff,0.86348,1
empty-32-32,0.8,0.1,3,16,12,RCbssBase,,
empty-32-32,0.8,0.1,3,16,13,RCbssEff,0.94618,1
empty-32-32,0.8,0.1,3,16,13,RCbssBase,,
empty-32-32,0.8,0.1,3,16,14,RCbssEff,0.84489,1
empty-32-32,0.8,0.1,3,16,14,RCbssBase,,
empty-32-32,0.8,0.1,3,16,15,RCbssEff,0.85708,1
empty-32-32,0.8,0.1,3,16,15,RCbssBase,,
empty-32-32,0.8,0.1,3,16,16,RCbssEff,0.89448,1
empty-32-32,0.8,0.1,3,16,16,RCbssBase,,
empty-32-32,0.8,0.1,3,16,17,RCbssEff,0.91016,1
empty-32-32,0.8,0.1,3,16,17,RCbssBase,,
empty-32-32,0.8,0.1,3,16,18,RCbssEff,0.8903,1
empty-32-32,0.8,0.1,3,16,18,RCbssBase,,
empty-32-32,0.8,0.1,3,16,19,RCbssEff,0.92244,1
empty-32-32,0.8,0.1,3,16,19,RCbssBase,,
empty-32-32,0.8,0.1,3,16,20,RCbssEff,0.841,1
empty-32-32,0.8,0.1,3,16,20,RCbssBase,,
empty-32-32,0.8,0.1,3,20,1,RCbssEff,1.1379,1
empty-32-32,0.8,0.1,3,20,1,RCbssBase,,
empty-32-32,0.8,0.1,3,20,2,RCbssEff,1.52669,1
empty-32-32,0.8,0.1,3,20,2,RCbssBase,,
empty-32-32,0.8,0.1,3,20,3,RCbssEff,1.14454,1
empty-32-32,0.8,0.1,3,20,3,RCbssBase,,
empty-32-32,0.8,0.1,3,20,4,RCbssEff,1.22884,1
empty-32-32,0.8,0.1,3,20,4,RCbssBase,,
empty-32-32,0.8,0.1,3,20,5,RCbssEff,1.27037,1
empty-32-32,0.8,0.1,3,20,5,RCbssBase,,
empty-32-32,0.8,0.1,3,20,6,RCbssEff,1.22111,1
empty-32-32,0.8,0.1,3,20,6,RCbssBase,,
empty-32-32,0.8,0.1,3,20,7,RCbssEff,1.18935,1
empty-32-32,0.8,0.1,3,20,7,RCbssBase,,
empty-32-32,0.8,0.1,3,20,8,RCbssEff,1.23764,1
empty-32-32,0.8,0.1,3,20,8,RCbssBase,,
empty-32-32,0.8,0.1,3,20,9,RCbssEff,1.28518,1
empty-32-32,0.8,0.1,3,20,9,RCbssBase,,
empty-32-32,0.8,0.1,3,20,10,RCbssEff,1.16716,1
empty-32-32,0.8,0.1,3,20,10,RCbssBase,,
empty-32-32,0.8,0.1,3,20,11,RCbssEff,1.26888,1
empty-32-32,0.8,0.1,3,20,11,RCbssBase,,
empty-32-32,0.8,0.1,3,20,12,RCbssEff,1.18234,1
empty-32-32,0.8,0.1,3,20,12,RCbssBase,,
empty-32-32,0.8,0.1,3,20,13,RCbssEff,1.46015,1
empty-32-32,0.8,0.1,3,20,13,RCbssBase,,
empty-32-32,0.8,0.1,3,20,14,RCbssEff,1.0518,1
empty-32-32,0.8,0.1,3,20,14,RCbssBase,,
empty-32-32,0.8,0.1,3,20,15,RCbssEff,1.10607,1
empty-32-32,0.8,0.1,3,20,15,RCbssBase,,
empty-32-32,0.8,0.1,3,20,16,RCbssEff,1.17874,1
empty-32-32,0.8,0.1,3,20,16,RCbssBase,,
empty-32-32,0.8,0.1,3,20,17,RCbssEff,1.1605,1
empty-32-32,0.8,0.1,3,20,17,RCbssBase,,
empty-32-32,0.8,0.1,3,20,18,RCbssEff,1.09364,1
empty-32-32,0.8,0.1,3,20,18,RCbssBase,,
empty-32-32,0.8,0.1,3,20,19,RCbssEff,1.20948,1
empty-32-32,0.8,0.1,3,20,19,RCbssBase,,
empty-32-32,0.8,0.1,3,20,20,RCbssEff,1.29616,1
empty-32-32,0.8,0.1,3,20,20,RCbssBase,,
empty-32-32,0.8,0.1,3,30,1,RCbssEff,2.34149,1
empty-32-32,0.8,0.1,3,30,1,RCbssBase,,
empty-32-32,0.8,0.1,3,30,2,RCbssEff,2.18738,1
empty-32-32,0.8,0.1,3,30,2,RCbssBase,,
empty-32-32,0.8,0.1,3,30,3,RCbssEff,2.41259,1
empty-32-32,0.8,0.1,3,30,3,RCbssBase,,
empty-32-32,0.8,0.1,3,30,4,RCbssEff,2.32659,1
empty-32-32,0.8,0.1,3,30,4,RCbssBase,,
empty-32-32,0.8,0.1,3,30,5,RCbssEff,2.32483,1
empty-32-32,0.8,0.1,3,30,5,RCbssBase,,
empty-32-32,0.8,0.1,3,30,6,RCbssEff,2.35442,1
empty-32-32,0.8,0.1,3,30,6,RCbssBase,,
empty-32-32,0.8,0.1,3,30,7,RCbssEff,2.51528,1
empty-32-32,0.8,0.1,3,30,7,RCbssBase,,
empty-32-32,0.8,0.1,3,30,8,RCbssEff,2.36501,1
empty-32-32,0.8,0.1,3,30,8,RCbssBase,,
empty-32-32,0.8,0.1,3,30,9,RCbssEff,2.19749,1
empty-32-32,0.8,0.1,3,30,9,RCbssBase,,
empty-32-32,0.8,0.1,3,30,10,RCbssEff,2.29437,1
empty-32-32,0.8,0.1,3,30,10,RCbssBase,,
empty-32-32,0.8,0.1,3,30,11,RCbssEff,2.30798,1
empty-32-32,0.8,0.1,3,30,11,RCbssBase,,
empty-32-32,0.8,0.1,3,30,12,RCbssEff,1.99601,1
empty-32-32,0.8,0.1,3,30,12,RCbssBase,,
empty-32-32,0.8,0.1,3,30,13,RCbssEff,2.45549,1
empty-32-32,0.8,0.1,3,30,13,RCbssBase,,
empty-32-32,0.8,0.1,3,30,14,RCbssEff,2.34919,1
empty-32-32,0.8,0.1,3,30,14,RCbssBase,,
empty-32-32,0.8,0.1,3,30,15,RCbssEff,2.07839,1
empty-32-32,0.8,0.1,3,30,15,RCbssBase,,
empty-32-32,0.8,0.1,3,30,16,RCbssEff,2.16984,1
empty-32-32,0.8,0.1,3,30,16,RCbssBase,,
empty-32-32,0.8,0.1,3,30,17,RCbssEff,2.41387,1
empty-32-32,0.8,0.1,3,30,17,RCbssBase,,
empty-32-32,0.8,0.1,3,30,18,RCbssEff,2.25582,1
